method,method_label,candidate_budget,mean_target_logit_margin,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice
countergan_one_shot,CounterGAN one-shot,64,6.476328887343406,0.10905654273927212,0.1658371913580247,0.1658371913580247,0.034602210726588964,0.44238746605363943,0.44238746605363943,0.1555515873015873,0.5853138888888889,0.8604241307861997,0.8604241307861997,0.9696681951936674
countergan_one_shot,CounterGAN one-shot,128,6.30606789469719,0.10700367622077465,0.18816214726631394,0.18816214726631394,0.03517300963401794,0.44056611304460686,0.44056611304460686,0.15259920634920635,0.583570634920635,0.8669164456233421,0.8669164456233421,0.9669570843519018
countergan_one_shot,CounterGAN one-shot,256,6.19767486512661,0.10499207163229585,0.2071628086419753,0.2071628086419753,0.03423057056032121,0.4398325474047512,0.4398325474047512,0.15450595238095238,0.5822876984126985,0.867043922871509,0.867043922871509,0.9640728381383441
countergan_one_shot,CounterGAN one-shot,512,6.064569098353386,0.10264540381729603,0.22695293209876544,0.22695293209876544,0.03424022271297872,0.43840492242329365,0.43840492242329365,0.15143253968253967,0.5804,0.8646645410783342,0.8646645410783342,0.9623696060646716
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,3.3976968356154185,0.07706115202300928,0.6206098835578002,0.6206098835578002,0.037799059600484644,0.4802178075577243,0.4802178075577243,0.11646572871572872,0.5460526515151516,0.8314456093366751,0.8314456093366751,0.9579083978623424
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,4.586060257554054,0.07754927854984998,0.663359126984127,0.663359126984127,0.058073692806065086,0.5386677991814582,0.5386677991814582,0.06725,0.541775,0.8390820673579295,0.8390820673579295,0.95117352068698
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,5.90401211798191,0.07685859961435199,0.7157222222222221,0.7157222222222221,0.06627799464389682,0.5878165731077531,0.5878165731077531,0.0605,0.5354,0.8481818181818181,0.8481818181818181,0.9393244652086483
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,7.161614862084389,0.07039686940610408,0.7735277777777778,0.7735277777777778,0.06894610695540905,0.6262278081124701,0.6262278081124701,0.0385,0.5137,0.8471212121212122,0.8471212121212122,0.9199783716080605
dice_gradient_style,Custom DiCE-style gradient,64,1.1950142886049004,0.02163470977446645,0.8353942652329749,0.8353942652329749,0.0,0.39251835797822865,0.39251835797822865,0.26344086021505375,0.34838709677419355,0.8364143920595533,0.8364143920595533,0.4407716937314242
dice_gradient_style,Custom DiCE-style gradient,128,2.917845810826961,0.037049119472904235,0.05206093189964159,0.05206093189964159,0.0,0.4218476737452236,0.4218476737452236,0.11648745519713262,0.3305017921146953,0.8872690929142542,0.8872690929142542,0.9496846842005537
dice_gradient_style,Custom DiCE-style gradient,256,6.980376793851658,0.05920063464503203,0.03810657596371883,0.03810657596371883,0.0007361454452026864,0.4871067306941762,0.4871067306941762,0.07642857142857143,0.31812244897959185,0.9044348508634223,0.9044348508634223,0.9940891145374411
dice_gradient_style,Custom DiCE-style gradient,512,10.396379945278166,0.07250816807150841,0.04777777777777779,0.04777777777777779,0.0006895050778985023,0.5308030794103742,0.5308030794103742,0.055,0.3255,0.9253846153846155,0.9253846153846155,0.9942997344848941
genetic_cfe,Budget-matched genetic CFE,64,4.79487412121223,0.08766297622374734,0.16110269994241083,0.16110269994241083,0.10647455049716696,0.6287134982586724,0.6287134982586724,0.01813605442176871,0.3742477891156463,0.8474847839626165,0.8474847839626165,0.966906367787004
genetic_cfe,Budget-matched genetic CFE,128,5.100319176689543,0.08221224684192978,0.23426507134840469,0.23426507134840469,0.09761755240648383,0.6169270186455129,0.6169270186455129,0.026722222222222224,0.3789600288600289,0.8423773788037111,0.8423773788037111,0.9570297739447748
genetic_cfe,Budget-matched genetic CFE,256,5.937392964363099,0.07893294902518391,0.3091666666666667,0.3091666666666667,0.08860820403322578,0.6202373584347051,0.6202373584347051,0.024,0.3902,0.8592424242424243,0.8592424242424243,0.9454672081348583
genetic_cfe,Budget-matched genetic CFE,512,6.686678496599198,0.07450069885700941,0.41480555555555554,0.41480555555555554,0.08063063500449061,0.630582445263399,0.630582445263399,0.021,0.3973,0.8737878787878788,0.8737878787878788,0.9237901149990866
proposed_countergan,CounterGAN + iterative black-box search,64,6.476328887343406,0.10905654273927212,0.1658371913580247,0.1658371913580247,0.034602210726588964,0.44238746605363943,0.44238746605363943,0.1555515873015873,0.5853138888888889,0.8604241307861997,0.8604241307861997,0.9696681951936674
proposed_countergan,CounterGAN + iterative black-box search,128,6.639255919456481,0.11059064334258437,0.16997222222222225,0.16997222222222225,0.04513071957044303,0.4578256589917188,0.4578256589917188,0.138,0.582,0.8646969696969697,0.8646969696969697,0.9692542854482866
proposed_countergan,CounterGAN + iterative black-box search,256,6.65585067152977,0.11067284943535924,0.1712777777777778,0.1712777777777778,0.04493029711768031,0.45880469834012383,0.45880469834012383,0.1395,0.5827,0.8584848484848484,0.8584848484848484,0.9688204395702207
proposed_countergan,CounterGAN + iterative black-box search,512,6.776802322864532,0.11101841099560261,0.17125,0.17125,0.04464924201369286,0.4583411589316345,0.4583411589316345,0.1395,0.5811,0.8643939393939395,0.8643939393939395,0.9688576058433889
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,64,4.115076105562307,0.07906683140616745,0.5824542294349058,0.5824542294349058,0.04652472403091466,0.48150621423823337,0.48150621423823337,0.05162004360373926,0.5577615745097628,0.8315001020402109,0.8315001020402109,0.9583922024543182
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,128,5.020320446491242,0.07729018786922097,0.643,0.643,0.0684097417537123,0.5474669872293003,0.5474669872293003,0.04,0.5306,0.8387722048066877,0.8387722048066877,0.9499657944439238
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,256,6.609252293109893,0.07487427921034395,0.7076944444444444,0.7076944444444444,0.07477934665977955,0.599074933855043,0.599074933855043,0.044000000000000004,0.5227,0.8422727272727273,0.8422727272727273,0.9368697280418246
proposed_dp_eps16_sparse_diverse,Unified DP-CounterGAN epsilon=16 + counted sparse-diverse search,512,7.3351561206579206,0.06781073439866304,0.7676666666666667,0.7676666666666667,0.07296099245548249,0.6328865688016,0.6328865688016,0.04,0.4958000000000001,0.8472727272727272,0.8472727272727272,0.9188851813239507
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,64,5.510828290581703,0.09006910560652613,0.5523869047619048,0.5523869047619048,0.06135895904153585,0.5142748987078661,0.5142748987078661,0.05916666666666666,0.6025666666666667,0.8438810965535104,0.8438810965535104,0.9652324938842836
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,128,6.21751426577568,0.08662011755630374,0.6197777777777778,0.6197777777777778,0.07534753559157252,0.5632876564723734,0.5632876564723734,0.045000000000000005,0.5958,0.8386363636363636,0.8386363636363636,0.954855150758444
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,256,7.042895349860191,0.07974217287264765,0.6915,0.6915,0.07942856255918741,0.6081885273116382,0.6081885273116382,0.043000000000000003,0.572,0.8456060606060607,0.8456060606060607,0.9427471013767579
proposed_dp_eps2_sparse_diverse,Unified DP-CounterGAN epsilon=2 + counted sparse-diverse search,512,7.321490643620491,0.06941451774910093,0.7645277777777778,0.7645277777777778,0.07430436213500799,0.62904208757821,0.62904208757821,0.043000000000000003,0.5206,0.8431818181818183,0.8431818181818183,0.9213743427140717
